Review ID,Reviewer Name,Rating,Review Date,Review Text,Sentiment
58,Reviewer 58,3.6,5/16/2018,Amazing movie! The plot and action were incredible.,Neutral
59,Reviewer 59,4.5,5/23/2018,Too long and confusing. Not what I expected.,Positive
60,Reviewer 60,1.1,4/28/2018,"The story was a bit hard to follow, but I enjoyed the action scenes.",Negative
61,Reviewer 61,3.6,4/30/2018,"A bit overwhelming, but the characters were well portrayed.",Neutral
62,Reviewer 62,1.5,5/25/2018,"Visually stunning and intense, left me wanting more!",Negative
63,Reviewer 63,2.9,5/12/2018,"Visually stunning and intense, left me wanting more!",Negative
64,Reviewer 64,3,5/19/2018,"Visually stunning and intense, left me wanting more!",Neutral
65,Reviewer 65,2.9,5/3/2018,"The story was a bit hard to follow, but I enjoyed the action scenes.",Negative
66,Reviewer 66,2.2,4/27/2018,"Visually stunning and intense, left me wanting more!",Negative
67,Reviewer 67,2.2,4/30/2018,Amazing movie! The plot and action were incredible.,Negative
68,Reviewer 68,4.7,4/28/2018,"It was okay, but I felt like it lacked something compared to other Marvel movies.",Positive
69,Reviewer 69,4.8,5/24/2018,Absolutely fantastic! The best superhero movie yet!,Positive
70,Reviewer 70,1.9,5/21/2018,Amazing movie! The plot and action were incredible.,Negative
71,Reviewer 71,3.2,5/14/2018,Too long and confusing. Not what I expected.,Neutral
72,Reviewer 72,1.9,5/10/2018,"Great film with lots of action, but not the best in the series.",Negative
73,Reviewer 73,2.3,5/21/2018,"Epic battles and surprising twists, a must-watch!",Negative
74,Reviewer 74,1.6,5/20/2018,Absolutely fantastic! The best superhero movie yet!,Negative
75,Reviewer 75,4.5,5/21/2018,"Great film with lots of action, but not the best in the series.",Positive
76,Reviewer 76,3.2,5/22/2018,"Good, but the ending was unexpected and a bit disappointing.",Neutral
77,Reviewer 77,2.5,5/4/2018,"It was okay, but I felt like it lacked something compared to other Marvel movies.",Negative
78,Reviewer 78,1.9,5/20/2018,Too long and confusing. Not what I expected.,Negative
79,Reviewer 79,1.5,5/2/2018,"Visually stunning and intense, left me wanting more!",Negative
80,Reviewer 80,2.9,5/8/2018,"Epic battles and surprising twists, a must-watch!",Negative
81,Reviewer 81,2.9,5/5/2018,"Great film with lots of action, but not the best in the series.",Negative
82,Reviewer 82,2.8,5/15/2018,"The story was a bit hard to follow, but I enjoyed the action scenes.",Negative
83,Reviewer 83,3.7,5/20/2018,"Good, but the ending was unexpected and a bit disappointing.",Neutral
84,Reviewer 84,2.6,5/4/2018,Amazing movie! The plot and action were incredible.,Negative
85,Reviewer 85,5,5/24/2018,Absolutely fantastic! The best superhero movie yet!,Positive
86,Reviewer 86,2.5,4/27/2018,"Visually stunning and intense, left me wanting more!",Negative
87,Reviewer 87,2.4,5/19/2018,"It was okay, but I felt like it lacked something compared to other Marvel movies.",Negative
88,Reviewer 88,2.7,5/6/2018,"A bit overwhelming, but the characters were well portrayed.",Negative
89,Reviewer 89,1.1,4/30/2018,Too long and confusing. Not what I expected.,Negative
90,Reviewer 90,2,5/5/2018,"Good, but the ending was unexpected and a bit disappointing.",Negative
91,Reviewer 91,4.2,5/4/2018,"The story was a bit hard to follow, but I enjoyed the action scenes.",Positive
92,Reviewer 92,1.1,5/11/2018,"Good, but the ending was unexpected and a bit disappointing.",Negative
93,Reviewer 93,4.2,5/16/2018,"The story was a bit hard to follow, but I enjoyed the action scenes.",Positive
94,Reviewer 94,1.6,5/17/2018,"Epic battles and surprising twists, a must-watch!",Negative
95,Reviewer 95,2.3,5/13/2018,"Good, but the ending was unexpected and a bit disappointing.",Negative
96,Reviewer 96,1.1,5/3/2018,Absolutely fantastic! The best superhero movie yet!,Negative
97,Reviewer 97,1.5,5/23/2018,"Great film with lots of action, but not the best in the series.",Negative
98,Reviewer 98,3.7,5/21/2018,"It was okay, but I felt like it lacked something compared to other Marvel movies.",Neutral
99,Reviewer 99,1,4/30/2018,Amazing movie! The plot and action were incredible.,Negative
100,Reviewer 100,2,5/3/2018,"Great film with lots of action, but not the best in the series.",Negative
